OTIMIZACAO 5D ETHUSDT 1h
--------------------------------------------------------------------------------
Dist  Stop  Nota  EMA   Min%  Lucro       Win%    
0.0   3.0   40    80    0.0   -98.72      33.3    
0.0   3.0   40    80    0.1   -98.72      33.3    
0.0   3.0   40    80    0.2   -98.72      33.3    
0.0   3.0   40    90    0.0   -98.72      33.3    
0.0   3.0   40    90    0.1   -98.72      33.3    
0.0   3.0   40    90    0.2   -98.72      33.3    
0.0   3.5   40    80    0.0   -101.09     50.0    
0.0   3.5   40    80    0.1   -101.09     50.0    
0.0   3.5   40    80    0.2   -101.09     50.0    
0.0   3.5   40    90    0.0   -101.09     50.0    
0.0   3.5   40    90    0.1   -101.09     50.0    
0.0   3.5   40    90    0.2   -101.09     50.0    
0.0   3.5   40    100   0.0   -103.62     40.0    
0.0   3.5   40    100   0.1   -103.62     40.0    
0.0   3.5   40    100   0.2   -103.62     40.0    
0.0   3.0   40    100   0.0   -112.82     20.0    
0.0   3.0   40    100   0.1   -112.82     20.0    
0.0   3.0   40    100   0.2   -112.82     20.0    
